id,text,retweet_count,reply_count,like_count,quote_count
1587925798723649537,"A 6-year-old boy died and his 2-year-old brother and his mother, all of Santa Maria, were seriously injured Tuesday night when their pickup lost control and plunged into a ravine on Highway 101 near Gaviota, the Buellton Area Office of the Californi… https://t.co/rNu83YoEmV",0,0,0,0
1587925195804639232,Injury Crash in #Columbia on Jamil Rd at St Andrews Rd. Reported by Highway Patrol #Traffic,0,0,0,0
1587923770873765888,"1 Injured in Bicycle Crash on East Benson Highway [Tucson, AZ] https://t.co/3Y898wKqns",0,0,0,0
1587921520927465472,"Memorial Boulevard at Bill Jones industrial Drive was closed for several hours Tuesday following a serious crash involving multiple vehicles, including a Tennessee Highway Patrol vehicle. The accident left one person dead, and two others injured. https://t.co/W1CYU0XQSF",0,0,0,0
1587919866778247168,@dayabennetts I'm still SO PISSED OFF that that storyline was basically just ignored. Like Rue basically got no consequences for that or causing a massive car crash on the highway. Lexies dumb play should not have lasted for two whole episodes.,0,0,0,0
1587919236755857408,Virginia State Police said the incident occurred at 7:47 p.m. when a northbound 2008 Ford F250 ran off the dual-lane highway at a severe curve near Henry Rd. https://t.co/hYkJYY2Twv,0,0,0,0
1587919083856535552,Suspect sought for deadly hit-and-run pedestrian crash on Highway 23 in Burke County https://t.co/L88F9gj1nz,0,0,0,0
1587918685355778048,"Kids driving on the highway crash into wall 
#driving #HighWay #gulag #welcometothegulag
#pain #ow #ouch #street #racing #drifting #nicecar
#racecar #viral #trending #fyp #crash #carcrash #wall #brickwall #gore #uncensored https://t.co/Ij096cXko3",0,0,5,0
1587916637596000256,Must be Fake News LIBERALS SAY WE HAVE WORLD CLASS TELECOM CHEAP SERVICE 🤔🤔🧐🧐🤥🤥 https://t.co/AbwXR6HIcG,0,0,0,0
1587916328349802496,The Oklahoma Highway Patrol said a man in critical condition passed away due to injuries sustained in a major crash. https://t.co/nDw7Gvqgdv,0,0,0,0
1587914295618183173,Germantown: I-270 northbound near Middlebrook Rd the center of the highway is blocked at a crash #mdtraffic https://t.co/AVz5s4WD36 https://t.co/Wn0FDxG6td,0,0,0,0
1587909677190631426,RT @TimesLIVE: Dashcam footage from inside a truck on the N3 highway on Tuesday shows how a truck failed to stop before crashing into numer…,32,0,0,0
1587906959201767425,"RT @UGreporter: ⚠️WARNING GRAPHIC CONTENT⚠️
Two men are being seen speeding on the highway. Proceed to crash and somewhat die in an instant…",56,0,0,0
1587904630444490757,A transport truck driver has been charged with careless driving after a crash on Highway 401 near Oshawa. (Source: OPP)  https://t.co/ewwBv7LEJJ,0,0,0,0
1587904044642729984,"2 hurt in crash involving 3 semi trucks, minivan on congested highway in Livingston County – WDIV ClickOnDetroit https://t.co/5i2EpHsY2k",0,0,0,0
1587903729826684930,RT @gorecenter_com: ⚠️ TRAFFIC ACCIDENT ON ISRAELI HIGHWAY 🫣🚘 [more at https://t.co/1RRVUU0JW1 💀] #Israel #Israeli #traffic #trafficacciden…,3,0,0,0
1587901368915922945,"King’s University College in London, Ont. has set up a student memorial fund after it learned that the two people who died in Monday's crash on Highway 401 were first-year international students from China.  https://t.co/47ECI7c85X",0,0,10,0
1587901106599989249,"IN CASE YOU MISSED IT: Two injured in Tuesday morning crash on Highway 63 in Kirksville

DETAILS: https://t.co/u9AINl2rrC

#KTVONews",0,0,0,0
1587899381532991488,"oh my good god...I just watched a man on a motorcycle WITH NO HELMET take a turn on the highway too fast cut me off and crash... i of course pulled over and called 911. but oh gosh. people, please wear your helmets and be careful.",1,0,2,0
1587898952875380736,"RT @QLDTrafficMWFWB: Capricorn Highway, Westwood - Crash, Unknown is now CLEARED.",1,0,0,0
1587898799229644801,I can drive but not legally or safely. I'm the right person to call to crash your car in a fiery show of explosion on a highway https://t.co/9BgUv0SEzC,0,1,2,0
1587898092955013120,Suspect sought for deadly hit-and-run pedestrian crash on Highway 23 in Burke County https://t.co/nLAvCcjLr4,0,0,0,0
1587897960960069632,"Do you know why some people wait or postpone tackling medical issues? Because it’s like a car pile up on a highway..one car stops short they all crash and pile up. You see 1 doctor, now you’ve got 10 appointments what’s 10x $50 (minimum expense) $500, +additional 💩.. that’s why",0,1,1,0
1587897240659845120,RT @deltadude3266: ⁦@TELUS⁩ many times on BC highways people in BC have had serious consequences due to the ridiculous amount of “dead zone…,4,0,0,0
1587894419508039680,RT @CityNewsTO: Provincial police say a truck driver is facing a careless driving charge after crashing into slowing traffic in a construct…,2,0,0,0
1587893692177993728,RT @deltadude3266: ⁦@TELUS⁩ many times on BC highways people in BC have had serious consequences due to the ridiculous amount of “dead zone…,4,0,0,0
1587892622609485824,RT @deltadude3266: ⁦@TELUS⁩ many times on BC highways people in BC have had serious consequences due to the ridiculous amount of “dead zone…,4,0,0,0
1587890515986505732,RT @CityNewsTO: Provincial police say a truck driver is facing a careless driving charge after crashing into slowing traffic in a construct…,2,0,0,0
1587890415994167296,MORE: Charges have been laid after the second crash in two days involving a transport into slowing traffic in #Clarington: https://t.co/DxvolG2sAa,0,0,0,0
1587890067770867712,Provincial police say a truck driver is facing a careless driving charge after crashing into slowing traffic in a construction zone on eastbound Highway 401 at Courtice Road in Clarington last night https://t.co/mF7YzazArp,2,0,6,0
1587889299441483776,Suspect sought for deadly hit-and-run pedestrian crash on Highway 23 in Burke County https://t.co/vlhmg13ei5,0,0,0,0
1587889113466032128,At this point Im here for the same reason you slow down to stare at a crash on the highway.,0,0,1,0
1587889083229114374,RT @deltadude3266: ⁦@TELUS⁩ many times on BC highways people in BC have had serious consequences due to the ridiculous amount of “dead zone…,4,0,0,0
1587886585755803648,"A six-year-old has died from injuries relating to a vehicle rolllover on Highway 101 near the Gaviota Tunnel last night.

https://t.co/GSpUFpW4Tq
#edhat #SBnews",0,0,0,0
1587883672882974722,Injury Crash in #Columbia on I 20 WB at Monticello Rd/Exit 68. Reported by Highway Patrol #Traffic,0,0,0,0
1587883491777445888,"One child critically injured from Tuesday's Gaviota rollover accident has died from their injuries, according to California Highway Patrol.  https://t.co/ZI5bx5HeTc",0,0,1,0
1587883240441794561,"One child critically injured from Tuesday's Gaviota rollover accident has died from their injuries, according to California Highway Patrol.  https://t.co/ZI5bx5YhVc",0,0,0,0
1587882606003195904,RT @TrafficSA: JHB - Golden Highway: #CRASH at Devland - multi vehicles and a truck - HEAVY going south https://t.co/r8PHSXc22G,1,0,0,0
1587882594255114240,UPDATE: Polk County Sheriff's Office identifies 19-year-old killed in Highway 141 crash Tuesday night. https://t.co/we4WDRP0Ns https://t.co/l1ZLwb96ON,0,0,0,0
1587882292764037120,"Stuck without cell service, car crash victims wait for an hour on remote highway https://t.co/yQZx0GygEY",0,0,0,0
1587977983712632832,RT @ABC30: One person has died following a crash involving a motorcycle in Visalia Wednesday evening. https://t.co/IASxFVrg8L,1,0,0,0
1587977901735133191,One person has died following a crash involving a motorcycle in Visalia Wednesday evening. https://t.co/IASxFVrg8L,1,0,0,0
1587977153131552771,"CRASH  - TONKIN HIGHWAY SOUTHBOUND AT COLLIER ROAD, BAYSWATER 
Right lane blocked 
Traffic heavy back to Walter Road East  https://t.co/8DLRvpt2a7 #perthtraffic https://t.co/1a2lzQneB3",0,0,0,1
1587976957311868928,https://t.co/KgUSAoVSOT,0,0,0,0
1587976861820325893,Watertown Fire Rescue responded to a two-vehicle crash today around 1:00 pm on west highway 212 and 21st street west. It was reported the vehicles had “heavy front end damage.” https://t.co/UUzyu7PrSz,0,0,0,0
1587976659663306754,"2022-11-02 20:57:00 | PED STRUCK | EPPING, NH | IAO 265 CALEF HIGHWAY (RTE 125) | MOTOR VEHICLE CRASH INVOLVING A PEDESTRIAN STRUCK WITH INJURY IN FRONT OF EVERSOURCE @RockinghamAlert | MI01",0,0,0,0
1587976097144410113,Well that's what all these sirens have been about that's why I tell everybody the first day of snow don't drive if you don't have to there is a big car crash on the Seward highway S. of Anchorage so if you're heading up you might want to take a detour cuz it is 5:10 busy time.,0,0,0,0
1587974982566612994,"RT @vivianosaurus: Highway Design PRANKS #327 

Put the sidewalk on the inside of the crash barrier 🤣 🚧 🚑 🤭 https://t.co/fWQwxo9BpM",1,0,0,0
1587974519368597505,"Highway Design PRANKS #327 

Put the sidewalk on the inside of the crash barrier 🤣 🚧 🚑 🤭 https://t.co/fWQwxo9BpM",1,2,24,0
1587974474594402304,Fcuk the cars that drive below 60 on the highway like just crash and never drive again,0,0,0,0
1587973690913947649,@LyftGyft @TheSmokingTire @PhenomenalPoto Make sure to keep your hands on the wheel on the slightest bend of a highway. Wouldn’t wanna crash into a car next to you. And I take notes just fine. You comment on every post hating teslas. Should get a life bro.,0,1,0,0
1587973499343310850,"Epping, NH *PEDESTRIAN STRUCK* IAO 265 Calef Highway (Rte 125) - Motor vehicle crash involving a pedestrian struck with injury in front of Eversource - 154.190 - 11/2 - 20:59 #NHTraffic #Rte125 #EppingNH",0,0,1,0
1587972213503938560,"RT @surfcityphoto: #Florida Highway Patrol investigates cause of deadly #Tesla, minivan crash in Martin County https://t.co/2acjW71Lc3",1,0,0,0
1587971968900399104,"RT @JimKVRR: The North Dakota Highway Patrol says a hit-and-run crash that killed a man following a street dance in McHenry last weekend ""h…",2,0,0,0
1587971952521666560,Watsonville pedestrian seriously injured in Highway 129 crash https://t.co/QzA7f5MN5K,0,0,0,0
1587970911445323776,RT @adndotcom: Traffic on the southbound Seward Highway near the Dimond Boulevard overpass was being diverted Wednesday afternoon following…,1,0,0,0
1587970421525479424,"Traffic on the southbound Seward Highway near the Dimond Boulevard overpass was being diverted Wednesday afternoon following a multi-vehicle crash involving injuries, police said. https://t.co/HN2PkIk004",1,0,3,0
1587968421504884739,"""It was later determined he had been ejected about 150-200 feet from a vehicle found — heavily damaged — in the area. The driver, a 20-year-old woman, had been found with the vehicle...""

The number of auto fatalities in our area is ridiculous this year. 
 https://t.co/F0a19p4DAu",0,1,0,0
1587967604173701120,TRAFFIC ALERT: A crash is blocking Eastside Highway near Fairgrounds Road in Hamilton. Traffic on Fairgrounds Road is being diverted and not allowed to turn onto Eastside Highway. https://t.co/NeEqlhdJlc,0,0,0,0
1587967406273490945,"@wordsandmuses I had a spooky one during my nap this afternoon. We were driving down a dark highway with Japanese NOH masks on the markers. There was a loud crash of electricity/lightning, and flying saucers were above us! They were herding us with lightning! I awakened with a scream. Too real!",0,0,0,0
1587966177942421507,"Two Males Useless after Two-Automobile Crash on Tierra Del Sol Highway [San Diego, CA] https://t.co/gYI9sCHwVr",0,0,0,0
1587965568765902849,@elonmusk It really is the crash along the side of the highway of society,0,0,0,0
1587964748813205504,"RT @accuweather: The collisions caused significant traffic delays along the eastbound side of the highway, stretching into California. http…",2,0,0,0
1587964283366916097,"Barry Curtius, 74, died in a hospital in Broken Arrow around 8 p.m. Oct. 16 due to injuries from a car crash that occurred Sept. 21, the Oklahoma Highway Patrol reported Wednesday. https://t.co/doSFze7KHf",0,0,0,0
1587956002841927684,"@aegisdesign @Wh1tt0 @BBCPanorama @BBCOne @BBCiPlayer It's wrong thinking. Irresponsible cyclist can cause a serious crash where people could be killed. If you don't know the highway code, don't ride on roads. In some countries you must pass a cycling card to cycle on road, or have driving license. UK is very liberal generally.",0,0,0,0
1587955359393746944,RT @TDOnline: The wreck occurred at Highway 90 and Crump Road. https://t.co/UnwT09daR9,0,0,0,0
1587953954620514304,"Polk County Sheriff's Office investigates fatal highway crash

https://t.co/xM0zkYTAIh",0,0,0,0
1587953462146482176,The Missouri State Highway Patrol crash reports indicate a few accidents in recent days have involved inattention to or overestimation of road conditions. https://t.co/vdLFkaMVp4,0,0,0,0
1587952366439239680,RT @dennisbragg: @SheriffRCSO reporting crash has closed Eastside Highway at Fairgrounds Rd east of Hamilton. Use an alternate route.,2,0,0,0
1587951435328925697,RT @dennisbragg: @SheriffRCSO reporting crash has closed Eastside Highway at Fairgrounds Rd east of Hamilton. Use an alternate route.,2,0,0,0
1587951163051503616,@SheriffRCSO reporting crash has closed Eastside Highway at Fairgrounds Rd east of Hamilton. Use an alternate route.,2,0,1,0
1587950279378571266,RT @blogTO: Terrifying truck crash on Toronto's Highway 401 was all caught on video https://t.co/a5cpKqm3EP #Toronto #HWY401,2,0,0,0
1587950221023219714,The Missouri State Highway Patrol crash reports indicate a few accidents in recent days have involved inattention to or overestimation of road conditions. https://t.co/tOIOOMrGOV,0,0,0,0
1587949894245154816,@SheriffRCSO reporting Eastside Highway is closed at Fairgrounds Rd east of Hamilton because of a crash. Use an alternate route.,0,0,0,1
1587949281335558144,I-40 Traffic Alert: Heads up if you are traveling west on I-40 in Knoxville. A crash near the Papermill Drive exit is blocking most lanes and backing traffic up to the Alcoa Highway interchange. https://t.co/oPndHiaAID https://t.co/Od7hD05xZM,0,0,1,0
1587946400146489344,"RT @accuweather: The collisions caused significant traffic delays along the eastbound side of the highway, stretching into California. http…",2,0,0,0
1587940527814868992,RT @OttawaNewsPulse: CTV News Ottawa → One seriously injured in Highway 417 crash southeast of Ottawa https://t.co/BGTuCgreq1 @OttawaNewsPu…,1,0,0,0
1587939629226987522,"Labrador has a system for a hwy with no people or cell reception in which folk can borrow satellite phone for the trip (pick it up and one end, drop it off at the other), for emergencies. 

Maybe Que should do this here:  https://t.co/F8JtGxpdNU",0,0,0,0
1587938103565557760,Crash reported NB Pat Bay Highway between East Saanich Road and Island View Road. #yyjtraffic https://t.co/1SA5LntANO,0,0,1,0
1587938098171695104,RT @imp_girl13: oh my good god...I just watched a man on a motorcycle WITH NO HELMET take a turn on the highway too fast cut me off and cra…,1,0,0,0
1587935297030995972,Traffic crash reported at State Highway 14 near Macedonia Road . Use alternate routes. https://t.co/YE7vVA0f9Y,0,0,0,0
1587935125878218753,California Highway Patrol has identified a man who was hit and killed on Highway 1 south of Freedom Boulevard Thursday. https://t.co/Hlfn9Xae39,0,0,0,0
1587935083071082496,"The Burton Fire District reported a two-vehicle collision on Savannah Highway that left one driver with minor injuries.
https://t.co/77TJ0d7CIw",0,0,0,0
1587933878831964162,"@RobLattu @DavidLarter @MattressMack ah yes, texas can be traitors when they drive on the road. but mack is a terrorist when he sinks 500K into and election denial candidate who wants to ""clean "" the voter rolls of tx https://t.co/8lpxYBZeKZ",0,1,0,0
1587932111948111872,"RT @10TampaBay: TRAFFIC ALERT: All northbound lanes on Interstate 75 at Gibsonton Drive are closed because of a deadly crash, according to…",2,0,0,0
1587931976870551552,RT @blogTO: Terrifying truck crash on Toronto's Highway 401 was all caught on video https://t.co/a5cpKqm3EP #Toronto #HWY401,2,0,0,0
1587931622363447297,https://t.co/JNRYV8cZyZ,0,0,0,0
1587931347607166976,The Benton County Sheriff's Office has issued a traffic alert for Highway 99 south of Corvallis. A crash near Eureka Road has reduced traffic to one lane as officials work to clean up the scene.,0,0,1,0
1587929017222541314,"Two people killed in a crash late Tuesday night in Mojave on Highway 14 have been identified by authorities.
https://t.co/WvGAKfC6nX",0,0,1,0
1587928847189954560,"RT @10TampaBay: TRAFFIC ALERT: All northbound lanes on Interstate 75 at Gibsonton Drive are closed because of a deadly crash, according to…",2,0,0,0
1587928486701780993,"TRAFFIC ALERT: All northbound lanes on Interstate 75 at Gibsonton Drive are closed because of a deadly crash, according to the Florida Highway Patrol. https://t.co/SHCiFecdeb",2,0,2,0
1587928411929862144,"Yikes.  major crash on #hwy144.  
https://t.co/S1TACgxdPD

Not 100% sure but pretty sure this pic is of the same crash. https://t.co/DoKPZsppc0",0,0,1,0
1587928249145110529,"Stuck without cell service, car crash victims wait for an hour on remote highway | CBC News https://t.co/OzErlZ0rs7",0,0,0,0
